trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,0,-148.14722848454736,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,1,-11.166818855078027,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,1,-30.456240661843125,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,5,-0.02719902367878224,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,0,-6.777082501208404,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,0,-78.2457944666119,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",30,13,-20.332449302622983,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,10,-23.32081025650225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,14,1.3866048871066043,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,16,5.5209633924719315,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,11,10.372880568709393,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",30,17,23.674006058768533,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,10,12.20404453522019,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,23,10.626566859467635,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,0,-27.53010417955418,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,3,-42.08729081889717,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
